READ: DEBUG: X36.0000, Y72.0000, Z-0.6750
READ: DEBUG: X27.0000, Y72.0000, Z-0.5938
READ: DEBUG: X18.0000, Y72.0000, Z-0.5750
READ: DEBUG: X9.0000, Y72.0000, Z-0.5250
READ: DEBUG: X0.0000, Y72.0000, Z-0.5312
READ: DEBUG: X-9.0000, Y72.0000, Z-0.4750
READ: DEBUG: X-18.0000, Y72.0000, Z-0.5812
READ: DEBUG: X-27.0000, Y72.0000, Z-0.6000
READ: DEBUG: X-36.0000, Y72.0000, Z-0.6500
READ: DEBUG: X-45.0000, Y72.0000, Z-0.7937
READ: DEBUG: X-54.0000, Y72.0000, Z-0.8313
READ: DEBUG: X-36.0000, Y81.0000, Z-0.7500
READ: DEBUG: X-27.0000, Y81.0000, Z-0.6688
READ: DEBUG: X-18.0000, Y81.0000, Z-0.6187
READ: DEBUG: X-9.0000, Y81.0000, Z-0.6500
READ: DEBUG: X0.0000, Y81.0000, Z-0.6500
READ: DEBUG: X9.0000, Y81.0000, Z-0.6625
READ: DEBUG: X18.0000, Y81.0000, Z-0.6313
READ: DEBUG: X27.0000, Y81.0000, Z-0.6750
READ: DEBUG: X36.0000, Y81.0000, Z-0.7313
READ: DEBUG: X0.0000, Y90.0000, Z-0.7375
